,airport,closeness_centrality
52,340,0.40100495458817237
64,1382,0.3936359661193277
56,507,0.3921302547735161
58,580,0.3877862016944255
307,2188,0.3852360038843293
68,3797,0.38338366033686894
50,193,0.37698889741819513
222,1555,0.37516579073874495
133,3484,0.37384650494166943
296,1701,0.37089978872491763
217,346,0.37042114659209413
66,3494,0.37018228848879775
365,1229,0.36999142368421467
622,3885,0.36738685075414534
224,1678,0.3669641351242825
258,3364,0.3669172267598284
11,2279,0.3661683205692228
267,3930,0.3654689922258897
266,3830,0.3645870017708799
410,3682,0.3632489831614955
13,3077,0.3623776625353033
377,2241,0.3617383068610129
372,1524,0.3603758273624781
411,3714,0.3598788195764967
219,1218,0.359428182437032
14,3316,0.35870950574133187
378,2985,0.35458844532947964
291,1590,0.3540635826991658
44,609,0.3536709542806971
259,3406,0.3529316937098411
306,2179,0.35228196673320294
216,302,0.3520227452712948
236,3576,0.3506466485392301
619,3304,0.3506038188520994
404,345,0.3506038188520994
134,3550,0.3506038188520994
261,3469,0.3504326046810081
292,1613,0.3502615576500473
330,4029,0.3485602264653476
238,3670,0.3483487214735604
257,2276,0.34771574378463205
322,3093,0.34674963335855735
55,502,0.34583053794483587
405,813,0.3457472253604117
237,3645,0.3452897227164848
67,3577,0.34446099423282583
311,2564,0.34380087015716104
54,478,0.34297926454082184
450,351,0.3424473234242588
62,737,0.34236563274596105
53,421,0.34232480202052923
321,2939,0.3414696008734401
90,156,0.34094232865448837
620,3370,0.3409018366914653
226,1824,0.34017462253402914
242,3941,0.3397317392522355
363,1128,0.33900950335917535
136,3877,0.3389294444376122
131,1852,0.3381309300202777
232,2170,0.33805128547192764
82,146,0.3379318889736446
137,3878,0.3378921088807696
480,1587,0.33765362486085604
223,1665,0.33658459954762404
627,3992,0.33438880066893495
329,3876,0.33392199452560933
221,1354,0.3338831528372848
290,599,0.3334952323622793
625,3988,0.3333403164489766
65,3448,0.33326291245119444
17,3361,0.3328764310497666
373,2072,0.33283783220572094
295,1638,0.33283783220572094
12,2397,0.332529363408496
327,3752,0.33222146584978446
594,2082,0.33210615121394627
218,1074,0.3318757619311062
166,1760,0.33183739479099855
472,1489,0.33183739479099855
772,3858,0.3317990365208805
342,1386,0.3312629503683944
60,644,0.3311865080122462
485,2997,0.3307667048792507
487,3953,0.3306143129396611
553,2948,0.330120007468906
61,679,0.32993028332668245
609,2983,0.32947583390061264
447,342,0.3287965022843227
443,1551,0.3285330737028886
240,3751,0.3280824625605369
309,2207,0.32767048686554084
618,3205,0.32755830936233454
125,178,0.3271103663751724
215,210,0.3258478221071788
635,4330,0.32551524891609634
310,2223,0.3251465184574238
132,3462,0.325109691351471
592,2057,0.32470514309300197
445,2176,0.3246684158966336
175,3533,0.32426496440828484
288,469,0.3238259775431112
567,893,0.32364341695141924
358,287,0.3234246157681282
364,1157,0.3233881776636027
617,3199,0.3232789125962538
313,2709,0.3230606038201618
806,1871,0.32251611965641996
615,3156,0.3224798859613681
611,3024,0.32229883953987626
312,2650,0.3221179962902186
376,2236,0.3220457158018779
315,2851,0.32197346774449104
325,3720,0.3211808733290968
230,1909,0.3211808733290968
15,3320,0.32114493901791646
264,3728,0.32107309451254334
256,2006,0.3208577537382224
396,4059,0.32060688762896655
398,248,0.3201063304273601
540,350,0.31999927145397294
127,1780,0.3197141306462617
40,16,0.3196429248265187
391,273,0.3194650489640665
601,2908,0.3194650489640665
623,3942,0.31939395403829285
314,2789,0.3193584184403802
662,3964,0.3192873709613056
409,1107,0.3192163550869815
597,2560,0.31907441806826786
505,1197,0.3189680481100275
1113,3536,0.3188617490493376
482,1657,0.31872012713103903
289,534,0.31864936333727106
1112,2359,0.31847259125065325
444,1606,0.3184019373202593
933,3339,0.3183666221098201
616,3179,0.3182254395722991
308,2206,0.3180843821966021
323,3488,0.31790823623237763
595,2194,0.31759166463179217
220,1230,0.31724065704488696
375,2177,0.3164711648227274
613,3131,0.31643627658936585
361,1084,0.3157053964960556
177,3646,0.31553187478752753
430,521,0.31553187478752753
63,1212,0.31535854372029637
340,1335,0.31480516176158563
174,1923,0.3141161594377476
496,535,0.3139100464722373
294,1636,0.31387572060602925
481,1626,0.31339594551175215
57,548,0.31329332732396176
771,3849,0.313054146029244
459,951,0.31302000708202155
603,2922,0.3129858755797773
486,3144,0.3127471633190388
606,2975,0.3127130912890443
300,1885,0.31261091972796096
621,3388,0.31254284243707947
504,1056,0.3124747947901304
533,1562,0.31220290025474634
590,1762,0.3120332063204846
624,3973,0.31199928966762364
815,3473,0.31196538038714683
476,1538,0.31189758393373224
814,3395,0.31189758393373224
379,3998,0.3117282216487986
51,337,0.31162669253524455
554,2954,0.31145762423417295
112,49,0.31145762423417295
468,1194,0.31135627128128185
813,3386,0.3111537631373591
319,2899,0.3110526078177435
1114,3570,0.31095151824744205
629,4078,0.3108168343196684
812,3383,0.3107158979153645
1456,3275,0.31068226701397744
433,1739,0.3105478161789611
596,2235,0.31048063439071255
301,1892,0.31031280702077163
614,3141,0.3101116535157884
117,100,0.30987730378302253
233,2875,0.30920968059271114
341,1353,0.3091763749399114
171,1761,0.3086112745879086
612,3043,0.30831293930635206
502,1054,0.3081805309149815
593,2064,0.3081143693583231
551,1688,0.30804823620327726
475,1529,0.3076850107130601
490,4317,0.30761906172351705
479,1569,0.3074543128686951
657,797,0.30728974038562656
368,1273,0.30728974038562656
588,1735,0.30728974038562656
463,1075,0.3072568470287024
318,2895,0.3072568470287024
477,1561,0.3070924858181382
359,344,0.30705963467502545
474,1526,0.30699395346974734
742,603,0.30689548433039
469,1208,0.30682987332358497
607,2976,0.3067970783392623
129,1836,0.30660045555886967
1096,2890,0.3065022386483863
571,1145,0.30620796511010645
457,687,0.30617530292716133
451,352,0.30617530292716133
317,2894,0.3057187629078856
456,669,0.3057187629078856
630,4091,0.3056536540242932
328,3861,0.3055885728672562
460,1064,0.30549100308026156
366,1246,0.3054584936620344
316,2874,0.30539349557848045
608,2979,0.3053285251507433
265,3731,0.3052311213251954
470,1216,0.3050689196452479
628,4057,0.3050040872321897
563,608,0.30493928236929113
1502,3382,0.304874505038995
552,1706,0.3048421266930902
448,629,0.3048421266930902
214,3747,0.3047773906288105
912,916,0.30458334729861397
442,1512,0.3045187210844619
1575,3774,0.3044864182605429
568,994,0.3042604902419056
501,1051,0.3042282421772271
1088,1767,0.3041960009476619
706,465,0.30406710433709083
926,3351,0.3040026969860345
591,2050,0.3039383169146693
453,415,0.30390613710345554
415,260,0.30387396410566775
1281,3673,0.30387396410566775
570,1132,0.3037453402055172
656,596,0.3036168251472538
542,636,0.30358471337304466
428,490,0.30352051019796317
1212,3678,0.3034242563363782
231,1953,0.30339218528085166
503,1055,0.303360121004242
626,3989,0.30319990122976
1577,3940,0.3030398506062223
172,1910,0.30291193171613945
605,2964,0.30287996886590035
473,1509,0.3028480127603015
429,492,0.3026245086918437
1272,3621,0.30249694013511835
770,3626,0.3024650647989608
569,1130,0.3024331961797638
1211,3486,0.3024013342754043
324,3520,0.3023694790837604
547,1452,0.30224212540193085
545,1206,0.3019242100496621
508,1225,0.3017972310947469
765,1177,0.3017655030426974
735,3007,0.30170206694788076
573,1472,0.30163865751808927
293,1633,0.30148025049281985
632,4118,0.3014485890508441
454,491,0.3013220097566804
488,3959,0.3012903815411082
1407,3272,0.30125875996454005
633,4130,0.30100602610550936
913,918,0.3009744641860268
589,1741,0.30075371594112926
1255,3817,0.3007222069085529
241,3793,0.3005332912723419
1254,3748,0.3004074793241379
471,1253,0.3004074793241379
130,1840,0.3002817726689128
169,73,0.30021895878486954
556,4053,0.299905283140961
598,2621,0.2998113082245809
802,1175,0.2998113082245809
1426,3125,0.29968609991043405
1283,3759,0.29959226228390956
602,2910,0.29959226228390956
455,495,0.2995297365065363
464,1080,0.2994359967600811
367,1264,0.2994359967600811
544,1200,0.29924869317578584
1251,3453,0.2989059111675661
585,1715,0.2989059111675661
2448,3566,0.2987192699492286
720,1198,0.29847077726340204
648,517,0.29847077726340204
527,1519,0.29847077726340204
550,1682,0.29840871867576024
491,5673,0.2982846788883028
531,1550,0.2982536850521756
766,1187,0.2981297740903757
431,523,0.2979441005752686
650,1053,0.29791317747193957
78,111,0.2977277735652046
565,668,0.2974809270330747
579,1646,0.2972960605843747
178,4069,0.29726527184570606
768,1220,0.2970499291050541
436,293,0.297019191322655
1547,3374,0.2968963037796998
574,1528,0.29686559778075683
543,666,0.29686559778075683
179,5810,0.2968042048332269
558,347,0.29674283727304224
528,1525,0.29662017825174514
1425,3076,0.2965895293389272
484,1742,0.29652825051055137
599,2882,0.29646699699877477
339,231,0.29625280884943106
649,552,0.29625280884943106
810,2897,0.29616110864033607
2453,4019,0.2961000066992096
521,1486,0.2958863483086422
2452,3867,0.29585585084952976
299,1779,0.2957643961815701
227,1897,0.29564254454033756
576,1610,0.295612097316389
580,1652,0.295612097316389
564,665,0.29549037110789966
600,2901,0.29542954558893963
452,353,0.29536874510620886
807,2559,0.2951864937209109
560,348,0.2951561403539473
525,1508,0.29506511769553223
762,1881,0.2950347892838049
1279,3458,0.2948529496602093
478,1563,0.2947318477196979
432,1418,0.2946713340460053
572,1226,0.29464108652660004
712,532,0.2945806101131094
809,2896,0.29439932973765515
925,1186,0.29439932973765515
303,1926,0.2943389525166261
1238,1804,0.29424843310529347
1293,2673,0.29424843310529347
1282,3717,0.29424843310529347
507,1222,0.29391700439710605
297,1754,0.2938267442872492
789,585,0.2938267442872492
659,1546,0.29367643390036197
1343,1960,0.29364639027541045
239,3697,0.293586321462835
870,2947,0.2933762740128922
578,1612,0.2933163156491046
610,2990,0.29325638178812197
548,1520,0.2932264240414892
1027,3980,0.29316652690656086
2430,3582,0.29304680601757405
1528,2372,0.2929271828698987
449,7447,0.29274793115167136
1545,3121,0.29265838753488355
1534,2305,0.2925688986792516
