,name,size
2,драко,0.3074061845802009
8,малфой,0.3069071131684162
1,гермиона,0.2737107657002029
24,забини,0.24522516226219282
23,блейз,0.24409608611449085
32,тео,0.23522096108957127
0,гарри,0.23217453136445124
11,грейнджер,0.22155168355385116
54,дафна,0.2183529262587174
20,панси,0.21244777511839455
26,пэнси,0.2009482952436655
21,астория,0.19450721964030004
6,поттер,0.19018615490794452
42,паркинсон,0.18795132007415072
3,рон,0.17499146656202108
55,теодор,0.15584644178677806
5,джинни,0.14506996342733933
84,блез,0.1302147754494452
7,северус,0.11386691963494663
4,снейп,0.10961857388778908
49,нотт,0.10601168781988886
19,уизли,0.10351666686819586
47,скорпиус,0.0719954645524055
103,керли,0.07009510275892977
14,люциус,0.0652991851147572
62,трейси,0.062118782479729
93,гринграсс,0.06092618486517185
102,сиэль,0.0576483151629505
58,драко_малфой,0.05302669086481105
63,гриффиндорец,0.05172441112674422
13,невилл,0.048536401425873954
15,джордж,0.04377282439669015
88,блондин,0.04357044127992097
67,гермиона_грейнджер,0.041501197287307036
31,блэк,0.04088382927816715
142,пэнс,0.03915994339252945
45,гарри_поттер,0.03684675023286361
118,лоли,0.035880758162166786
157,эни,0.035880758162166786
37,нарцисса,0.03475651703266447
9,джеймс,0.03465152222334524
51,парвати,0.034114468131842726
130,булстроуд,0.03310590527496219
127,гари,0.032902472081358214
145,панс,0.03246007089974223
38,билл,0.03236683745068535
36,лаванда,0.03228441054771469
43,дин,0.03207337042510507
56,симус,0.03199875284474367
25,альбус,0.03125473784974231
141,люциус_малфой,0.030159996782661586
76,гарольд,0.029956854125960497
12,мальчик,0.029956854125960497
27,маркус,0.027819237266878953
137,миллисент,0.02472182188713275
132,хокинг,0.02459566039864767
153,уизлетта,0.021767557000783713
151,дрей,0.021767557000783713
183,дину,0.021767557000783713
105,северус_снейп,0.02105309121961516
18,профессор,0.020731718526310835
101,рон_уизли,0.019753412568729593
113,рональд,0.019753412568729593
78,кэти,0.019677175352291385
159,миона,0.01941318805878225
160,николь,0.01941318805878225
161,сэль,0.01941318805878225
185,хендрик,0.01941318805878225
162,ромильда,0.01941318805878225
143,герми,0.01941318805878225
79,ульфат,0.01941318805878225
65,софи,0.01941318805878225
83,зельевар,0.01881552019802852
22,ремус,0.018308792113793458
96,гойл,0.017480310147379084
191,блейза,0.01739238639174574
119,гойлом,0.01739238639174574
136,финниган,0.01739238639174574
110,мастер_зелий,0.017322182810001988
16,фред,0.016635113410816076
108,гарриет,0.016467570103384527
165,майю,0.016467570103384527
188,геланор,0.016467570103384527
144,айк,0.016467570103384527
186,ноа,0.016467570103384527
109,джейслин,0.016467570103384527
187,рюу,0.016467570103384527
98,дрейко,0.016467570103384527
77,эмили,0.016467570103384527
29,сириус,0.014342099914947583
167,астория_гринграсс,0.013795201720647186
41,перси,0.012411460317625739
115,рыжик,0.012411460317625739
46,регулус,0.01226945647099917
